Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Henfaes Farm,25-Jul-24,,Vaisala,HMP155,E,T4750898,,TRUE
Wallingford,31-Jul-24,,Lambrecht,rainE,,88181.0037,,FALSE
Lullington Heath,31-Jul-24,,Lambrecht,rainE,,881821.0047,,FALSE
Rothamsted,31-Jul-24,,Vaisala,HMP155,A,R1030191,,TRUE
Campbell Sci Ltd,31-Jul-24,29-Aug-24,Vaisala,HMP155,A,L1320538,,TRUE
Rothamsted,31-Jul-24,,Lambrecht,rainE,,881821.0012,,TRUE
Campbell Sci Ltd,31-Jul-24,,Lambrecht,rainE,,881821.0027,,TRUE
Rothamsted,31-Jul-24,,Vaisala,PTB110,,T4710741,,TRUE
Campbell Sci Ltd,31-Jul-24,,Vaisala,PTB110,,T4650762,,TRUE
Lullington Heath,01-Aug-24,,Acclima,TDT,SDI-12,6503331,RM,FALSE
Wallingford,01-Aug-24,,Acclima,TDT,SDI-12,6013223,RM,FALSE
Campbell Sci Ltd,01-Aug-24,20-Aug-24,Vaisala,HMP155,A,S5130137,,TRUE
Waddesdon,01-Aug-24,,Vaisala,HMP155,A,P4010599,,TRUE
Campbell Sci Ltd,01-Aug-24,,Hydroinnova,CRS-2000/B,,HI-TC02-2023,,TRUE
Waddesdon,01-Aug-24,,Lambrecht,rainE,,881821.0035,,TRUE
Campbell Sci Ltd,01-Aug-24,,Lambrecht,rainE,,881821.0030,,TRUE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-1,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-2,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-3,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-4,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-5,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-6,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-7,,FALSE
Campbell Sci Ltd,06-Aug-24,,Misc,Antenna,White - high gain,06082024-8,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-1,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-2,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-3,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-4,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-5,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-6,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-7,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-8,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-9,,FALSE
Campbell Sci Ltd,06-Aug-24,,Mobotix,Lens Cover,,06082024-DOME-10,,FALSE
Hartwood Home,06-Aug-24,,Campbell Scientific Ltd,CR3000,,9898,PPM,TRUE
Campbell Sci Ltd,06-Aug-24,24-Sep-24,Campbell Scientific Ltd,CR3000,,9969,PPM,TRUE
Campbell Sci Ltd,06-Aug-24,,Vaisala,HMP155,E,T4721227,PPM,TRUE
Hartwood Home,06-Aug-24,,Vaisala,PTB110,,T4740221,PPM,TRUE
Campbell Sci Ltd,06-Aug-24,,Vaisala,PTB110,,T4650715,PPM,TRUE
Hartwood Home,06-Aug-24,,Vaisala,HMP155,E,T2650702,,TRUE
Easter Bush,07-Aug-24,,Campbell Scientific Ltd,CR3000,,11256,,TRUE
Campbell Sci Ltd,07-Aug-24,,Campbell Scientific Ltd,CR3000,,11249,,TRUE
Easter Bush,07-Aug-24,,Hukseflux,NR01,,2546,,TRUE
Campbell Sci Ltd,07-Aug-24,,Hukseflux,NR01,,2317,,TRUE
Easter Bush,07-Aug-24,,Campbell Scientific Ltd,SR50A,,5694,,TRUE
Campbell Sci Ltd,07-Aug-24,,Campbell Scientific Ltd,SR50A,,11155,,TRUE
