ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
380,8.6737702132e+15,16/09/2019,,2.2.119,MODEM_PRO
381,8.6737702188e+14,21/11/2019,,3.2.191,MODEM_PRO
382,8.6737702188e+14,16/09/2019,,3.2.119,MODEM_PRO
383,8.673770219e+14,16/09/2019,,3.2.119,MODEM_PRO
384,8.673770219e+14,16/09/2019,,3.2.146,MODEM_PRO
385,8.673770219e+15,16/09/2019,,3.2.119,MODEM_PRO
386,8.6737702223e+15,16/09/2019,,3.2.119,MODEM_PRO
387,8.6737702225e+14,27/08/2020,,3.2.234,MODEM_PRO
388,8.6737702225e+14,16/09/2019,,3.2.119,MODEM_PRO
389,8.6737702242e+14,12/09/2019,,3.2.191,MODEM_PRO
390,8.6737702248e+14,16/09/2019,,3.2.147,MODEM_PRO
391,8.6737702254e+14,16/09/2019,,3.2.119,MODEM_PRO
392,8.6971503769e+14,09/10/2019,,3.2.173,MODEM_PRO
393,8803,,01/08/2017,CR3000.Std.29,LOGGER
394,8803,01/08/2017,,CR3000.Std.31.03,LOGGER
395,8892,31/08/2017,,CR3000.Std.31.03,LOGGER
396,8892,,31/08/2017,CR3000.Std.29,LOGGER
397,8899,,03/08/2017,CR3000.Std.29,LOGGER
398,8899,03/08/2017,,CR3000.Std.31.03,LOGGER
399,8900,17/01/2017,25/04/2017,CR3000.Std.30.01,LOGGER
400,8900,25/04/2017,04/08/2017,CR3000.Std.31,LOGGER
401,8900,04/08/2017,,CR3000.Std.31.03,LOGGER
402,8939,,09/02/2017,CR3000.Std.29,LOGGER
403,8939,09/02/2017,05/04/2018,CR3000.Std.31,LOGGER
404,8939,05/04/2018,,CR3000.Std.31.03,LOGGER
405,8943,07/03/2017,11/09/2018,CR3000.Std.31,LOGGER
406,8943,13/12/2016,07/03/2017,CR3000.Std.30.01,LOGGER
407,8943,20/05/2016,13/12/2016,CR3000.Std.29,LOGGER
408,8943,06/11/2014,20/05/2016,CR3000.Std.27,LOGGER
409,8943,11/09/2018,,CR3000.Std.31.03,LOGGER
410,8969,26/09/2017,31/08/2022,CR3000.Std.31.03,LOGGER
411,8969,,26/09/2017,CR3000.Std.29,LOGGER
412,8969,31/08/2011,,CR3000.Std.32.05,LOGGER
413,9024,30/11/2015,05/04/2016,CR3000.Std.27,LOGGER
414,9024,22/02/2017,06/07/2018,CR3000.Std.30.01,LOGGER
415,9024,06/07/2018,,CR3000.Std.31.03,LOGGER
416,9024,05/04/2016,22/02/2017,CR3000.Std.29,LOGGER
417,9027,13/12/2019,,CR3000.Std.31.03,LOGGER
418,9027,,13/12/2019,CR3000.Std.27,LOGGER
419,9059,08/02/2017,05/12/2018,CR3000.Std.31,LOGGER
420,9059,,08/02/2017,CR3000.Std.27,LOGGER
421,9059,05/12/2018,,CR3000.Std.31.03,LOGGER
422,9060,31/01/2017,18/12/2018,CR3000.Std.31,LOGGER
423,9060,,31/01/2017,CR3000.Std.29,LOGGER
424,9060,18/12/2018,,CR3000.Std.31.03,LOGGER
425,9083,13/12/2016,22/02/2017,CR3000.Std.30.01,LOGGER
426,9083,22/02/2017,,CR3000.Std.31,LOGGER
427,9083,,13/12/2016,CR3000.Std.29,LOGGER
428,9087,11/01/2017,22/02/2017,CR3000.Std.30.01,LOGGER
429,9087,,11/01/2017,CR3000.Std.29,LOGGER
430,9087,22/02/2017,16/10/2018,CR3000.Std.31,LOGGER
431,9087,16/10/2018,,CR3000.Std.31.03,LOGGER
432,9240,,18/10/2018,CR3000.Std.29,LOGGER
433,9240,18/10/2018,,CR3000.Std.31.03,LOGGER
434,9470,23/08/2022,,CR3000.Std.32.05,LOGGER
435,9476,,03/08/2017,CR3000.Std.25,LOGGER
436,9476,03/08/2017,,CR3000.Std.31.03,LOGGER
437,9505,,25/04/2017,CR3000.Std.29,LOGGER
438,9505,25/04/2017,01/06/2017,CR3000.Std.31,LOGGER
439,9505,01/06/2017,,CR3000.Std.31.03,LOGGER
440,9570,20/12/2018,,CR3000.Std.31.03,LOGGER
441,9570,26/01/2017,20/12/2018,CR3000.Std.31,LOGGER
442,9570,,26/01/2017,CR3000.Std.29,LOGGER
443,9575,,16/02/2017,CR3000.Std.30.01,LOGGER
444,9575,16/02/2017,,CR3000.Std.31,LOGGER
445,9579,01/06/2017,,CR3000.Std.31.03,LOGGER
446,9579,22/03/2017,01/06/2017,CR3000.Std.31,LOGGER
447,9579,,22/03/2017,CR3000.Std.29,LOGGER
448,9680,29/06/2017,,CR3000.Std.31.03,LOGGER
449,9680,27/04/2017,29/06/2017,CR3000.Std.31,LOGGER
