"MASK_FILENAME","START_DATETIME","END_DATETIME"
"PLYNL_LAND1_MASK_4096_1.dat",05-11-2014 12:30,09-04-2016 07:50
"PORTN_LAND1_MASK_1600_1.dat",18-12-2014 10:30,20-06-2016 13:50
"PORTN_LAND1_MASK_1600_2.dat",08-08-2017 09:15,07-11-2018 08:50
"PORTN_LAND1_MASK_1600_2.dat",21-03-2019 12:45,
"PORTN_LAND1_MASK_2560_1.dat",18-12-2014 10:30,20-06-2016 13:50
"PORTN_LAND1_MASK_2560_2.dat",08-08-2017 09:15,07-11-2018 08:50
"PORTN_LAND1_MASK_2560_2.dat",21-03-2019 12:45,
"PORTN_LAND1_MASK_4096_1.dat",18-12-2014 10:30,20-06-2016 13:50
"PORTN_LAND1_MASK_5184_2.dat",21-03-2019 12:45,
"RDMER_LAND1_MASK_1600_1.dat",18-02-2015 11:45,31-05-2017 13:45
"RDMER_LAND1_MASK_1600_2.dat",20-06-2017 09:40,
"RDMER_LAND1_MASK_2560_2.dat",20-06-2017 09:40,
"RDMER_LAND2_MASK_1600_1.dat",18-02-2015 11:45,31-05-2017 13:45
"RDMER_LAND2_MASK_1600_2.dat",20-06-2017 09:40,
"RDMER_LAND2_MASK_2560_2.dat",20-06-2017 09:40,
